lustlos,Ziel,1
verwandeln,ontenifmieren,0
verwandeln,interessieren,1
lustlos,Zaul,0
schwierig,befiemten,0
nachdenken,konzentrieren,1
ängstlich,beruhigen,1
ängstlich,helukegen,0
wertlos,Kand,0
wertlos,Band,1
nachdenken,narmentrieren,0
schwierig,behaupten,1
lustlos,Zaul,0
schwierig,behaupten,1
wertlos,Kand,0
nachdenken,konzentrieren,1
ängstlich,beruhigen,1
lustlos,Ziel,1
verwandeln,interessieren,1
schwierig,befiemten,0
wertlos,Band,1
ängstlich,helukegen,0
verwandeln,ontenifmieren,0
nachdenken,narmentrieren,0
